Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
2024,Freeze in VA,VA,Freeze,0,91600000.0,0,NOAA,No,0
2024,Severe Storm in VA,VA,Severe Storm,0,4030200000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in VA,VA,Tropical Cyclone,0,11133200000.0,0,NOAA,Yes,0
2024,Winter Storm in VA,VA,Winter Storm,0,3141700000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in VI,VI,Tropical Cyclone,0,21081500000.0,0,NOAA,Yes,0
2024,Drought in VT,VT,Drought,0,13300000.0,0,NOAA,No,0
2024,Flood in VT,VT,Flood,0,952800000.0,0,NOAA,No,0
2024,Severe Storm in VT,VT,Severe Storm,0,185600000.0,0,NOAA,No,0
2024,Tropical Cyclone in VT,VT,Tropical Cyclone,0,1173700000.0,0,NOAA,Yes,0
2024,Winter Storm in VT,VT,Winter Storm,0,1199700000.0,0,NOAA,Yes,0
2024,Drought in WA,WA,Drought,0,4909000000.0,0,NOAA,Yes,0
2024,Flood in WA,WA,Flood,0,1099000000.0,0,NOAA,Yes,0
2024,Freeze in WA,WA,Freeze,0,113400000.0,0,NOAA,No,0
2024,Severe Storm in WA,WA,Severe Storm,0,69000000.0,0,NOAA,No,0
2024,Wildfire in WA,WA,Wildfire,0,3036100000.0,0,NOAA,Yes,0
2024,Winter Storm in WA,WA,Winter Storm,0,1081200000.0,0,NOAA,Yes,0
2024,Drought in WI,WI,Drought,0,5869300000.0,0,NOAA,Yes,0
2024,Flood in WI,WI,Flood,0,6401000000.0,0,NOAA,Yes,0
2024,Freeze in WI,WI,Freeze,0,50400000.0,0,NOAA,No,0
2024,Severe Storm in WI,WI,Severe Storm,0,9814500000.0,0,NOAA,Yes,0
2024,Winter Storm in WI,WI,Winter Storm,0,252000000.0,0,NOAA,No,0
2024,Drought in WV,WV,Drought,0,2337400000.0,0,NOAA,Yes,0
2024,Flood in WV,WV,Flood,0,2853900000.0,0,NOAA,Yes,0
2024,Freeze in WV,WV,Freeze,0,70200000.0,0,NOAA,No,0
2024,Severe Storm in WV,WV,Severe Storm,0,1160900000.0,0,NOAA,Yes,0
2024,Tropical Cyclone in WV,WV,Tropical Cyclone,0,866300000.0,0,NOAA,No,0
2024,Winter Storm in WV,WV,Winter Storm,0,884500000.0,0,NOAA,No,0
2024,Drought in WY,WY,Drought,0,2833300000.0,0,NOAA,Yes,0
2024,Freeze in WY,WY,Freeze,0,8400000.0,0,NOAA,No,0
2024,Severe Storm in WY,WY,Severe Storm,0,1455200000.0,0,NOAA,Yes,0
2024,Wildfire in WY,WY,Wildfire,0,1104900000.0,0,NOAA,Yes,0
